player,player_id,ht_in_in,wt,birth_date,colleges,from_season,to_season,debut,hof,n_seasons,lg,teams,pos,career_g,career_gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,career_mp,career_fg,career_fga,career_x3p,career_x3pa,career_x2p,career_x2pa,career_ft,career_fta,career_orb,career_drb,career_trb,career_ast,career_stl,career_blk,career_tov,career_pf,career_pts,career_trp_dbl,career_per,career_ts_percent,career_x3p_ar,career_f_tr,career_orb_percent,career_drb_percent,career_trb_percent,career_ast_percent,career_stl_percent,career_blk_percent,career_tov_percent,career_usg_percent,career_ows,career_dws,career_ws,career_ws_48,career_obpm,career_dbpm,career_bpm,career_vorp,career_fg_per_100_poss,career_fga_per_100_poss,career_x3p_per_100_poss,career_x3pa_per_100_poss,career_x2p_per_100_poss,career_x2pa_per_100_poss,career_ft_per_100_poss,career_fta_per_100_poss,career_orb_per_100_poss,career_drb_per_100_poss,career_trb_per_100_poss,career_ast_per_100_poss,career_stl_per_100_poss,career_blk_per_100_poss,career_tov_per_100_poss,career_pf_per_100_poss,career_pts_per_100_poss,career_o_rtg,career_d_rtg,career_pg_percent,career_sg_percent,career_sf_percent,career_pf_percent,career_c_percent,career_on_court_plus_minus_per_100_poss,career_net_plus_minus_per_100_poss,career_bad_pass_turnover,career_lost_ball_turnover,career_shooting_foul_committed,career_offensive_foul_committed,career_shooting_foul_drawn,career_offensive_foul_drawn,career_points_generated_by_assists,career_and1,career_fga_blocked,career_avg_dist_fga,career_percent_fga_from_x0_3_range,career_percent_fga_from_x3_10_range,career_percent_fga_from_x10_16_range,career_percent_fga_from_x16_3p_range,career_percent_fga_from_x3p_range,career_fg_percent_from_x0_3_range,career_fg_percent_from_x3_10_range,career_fg_percent_from_x10_16_range,career_fg_percent_from_x16_3p_range,career_percent_assisted_x2p_fg,career_percent_assisted_x3p_fg,career_percent_dunks_of_fga,career_num_of_dunks,career_percent_corner_3s_of_3pa,career_corner_3_point_percent,career_num_heaves_attempted,career_num_heaves_made,career_CHMP_count,career_FMVP_count,career_all_star_count,career_all_defense_share_mean,career_all_nba_share_mean,career_all_rookie_share_mean,career_all_defense_1st_count,career_all_defense_2nd_count,career_all_defense_ORV_count,career_all_nba_1T_count,career_all_nba_2T_count,career_all_nba_3T_count,career_all_nba_ORV_count,career_all_rookie_1st_count,career_all_rookie_2nd_count,career_all_rookie_ORV_count,career_mvp_winner_count,career_mvp_share_mean,career_roy_winner_count,career_roy_share_sum,career_smoy_winner_count,career_smoy_share_mean,career_mip_winner_count,career_mip_share_mean,career_dpoy_winner_count,career_dpoy_share_mean,career_clutch_poy_winner_count,career_clutch_poy_share_mean,from,to,experience,career_percent_fga_from_x2p_range
Dolph Schayes,schaydo01,80,220.0,1928-05-19,NYU,1950,1964,1949-11-03T00:00:00Z,True,15,NBA,"SYR, PHI",PF,996,,29.919678714859437,5.886546184738956,15.488955823293173,0.3800479678485772,,,,,,,,6.738955823293173,7.93574297188755,0.8491902834008097,,,11.301204819277109,3.0843373493975905,,,,3.4457831325301207,18.512048192771083,29800.0,5863,15427,,,,,6712,7904,,,11256.0,3072,,,,3432.0,18438,3.0,22.095526845637583,0.48932399328859066,,0.5068340604026846,,,,,,,,,86.10000000000001,56.0,142.30000000000004,0.19226996644295308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,6,12,,,0,,0,0,0.08111111111111112,0,0.0,,,,,,,,,1950,1964,15,
Hal Greer,greerha01,74,175.0,1936-06-26,Marshall,1959,1973,1958-10-19T00:00:00Z,True,15,NBA,"SYR, PHI",SG,1122,138.0,35.46167557932264,7.579322638146167,16.76559714795009,0.4520759130296103,0.0,0.0,,0.0,0.0,,0.4520759130296103,4.080213903743315,5.095365418894831,0.8007696344236488,0.0,0.0,5.049019607843137,4.046345811051693,0.0,0.0,0.0,3.435828877005348,19.23885918003565,39788.0,8504,18811,0.0,0.0,0.0,0.0,4578,5717,0.0,0.0,5665.0,4540,0.0,0.0,0.0,3855.0,21586,1.0,15.666469789886396,0.5049568965517243,0.0,0.30146566804061525,0.0,0.0,2.089582809751194,16.252138157894738,0.0,0.0,0.0,0.0,64.89999999999999,37.800000000000004,102.69999999999999,0.1239314114808485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,0.0,0.16637500000000002,0.0,0,0,,0,7,,,0,,0,0,0.0004,0,0.0,,,,,,,,,1959,1973,15,
Lenny Wilkens,wilkele01,73,180.0,1937-10-28,Providence,1961,1975,1960-10-22T00:00:00Z,True,15,NBA,"STL, SEA, CLE, POR",PG,1077,0.0,35.34261838440111,5.7465181058495824,13.302692664809657,0.43198157325329795,0.0,0.0,,0.0,0.0,,0.43198157325329795,5.008356545961003,6.474466109563602,0.7735551412591424,0.1095636025998143,0.2590529247910863,4.670380687093779,6.695450324976787,0.1615598885793872,0.02414113277623027,0.0,3.050139275766017,16.501392757660167,38064.0,6189,14327,0.0,0.0,0.0,0.0,5394,6973,118.0,279.0,5030.0,7211,174.0,26.0,0.0,3285.0,17772,13.0,16.77463745271122,0.5102220470786045,0.0,0.49072047078604464,1.2364043306266919,3.081084738704976,3.12427471057608,28.255547829542067,1.2018135106543752,0.1517384967728503,0.0,0.0,60.30000000000001,35.49999999999999,95.6,0.12045150273224046,1.8946487376509331,-0.18581229418221734,1.7088364434687158,3.4,7.548600439077936,16.429061470911087,0.0,0.0,0.0,0.0,5.591163556531285,7.050466520307355,1.5,3.54069703622393,4.9725576289791436,9.572557628979144,2.1823271130625685,0.331860592755214,0.0,3.3230241492864985,20.620225027442373,0.0,100.04418221734358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,0.0,0.0,0.0,0,0,,0,0,,,0,,0,0,0.020933333333333335,0,0.0,,,,,,,,,1961,1975,15,
John Havlicek,havlijo01,77,203.0,1940-04-08,Ohio State,1963,1977,1962-10-20T00:00:00Z,True,15,NBA,BOS,SF,1188,0.0,36.76262626262626,8.38973063973064,19.11868686868687,0.4388235812089992,0.0,0.0,,0.0,0.0,,0.4388235812089992,4.325757575757576,5.31986531986532,0.8131329113924051,0.4351851851851852,0.968013468013468,6.46043771043771,4.87037037037037,0.32491582491582494,0.07996632996632996,0.0,2.606060606060606,21.105218855218855,43674.0,9967,22713,0.0,0.0,0.0,0.0,5139,6320,517.0,1150.0,7675.0,5786,386.0,95.0,0.0,3096.0,25073,31.0,17.743094289508633,0.49336289325456795,0.0,0.27850886110729506,2.7212351720836216,5.922160753231554,5.306433737202968,19.673718723480857,1.1411827031322428,0.26159902122453316,0.0,0.0,54.699999999999996,71.8,126.60000000000001,0.13921836790767964,1.1891767513209477,0.24346343957729677,1.4838077381966934,10.200000000000001,9.173223112323162,20.21555309357423,0.0,0.0,0.0,0.0,4.39042952104994,5.211871484574741,1.9525651951593657,4.3674194648031355,6.346326913243566,5.891545934890063,1.4686381455599113,0.37027441622635077,0.0,3.1877450144878132,22.68384182716891,0.0,97.43582750980057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,12,0.43155555555555547,0.4151666666666667,0.0,5,8,,4,11,,,1,,1,0,0.019600000000000003,0,0.0,,,,,,,,,1963,1978,15,
John Havlicek,havlijo01,77,203.0,1940-04-08,Ohio State,1964,1978,1962-10-20T00:00:00Z,True,15,NBA,BOS,SF,1190,0.0,37.20252100840336,8.428571428571429,19.19747899159664,0.43904574305099586,0.0,0.0,,0.0,0.0,,0.43904574305099586,4.3655462184873945,5.336134453781512,0.8181102362204724,0.5126050420168067,1.1672268907563026,6.279831932773109,4.987394957983193,0.4,0.09831932773109243,0.17142857142857143,2.5983193277310925,21.222689075630253,44271.0,10030,22845,0.0,0.0,0.0,0.0,5195,6350,610.0,1389.0,7473.0,5935,476.0,117.0,204.0,3092.0,25255,31.0,17.642000406586703,0.49418007273384384,0.0,0.27778304081678756,2.822096684571217,6.256028894239675,5.362277621048996,19.501021974858457,1.1972566767236563,0.2795239859233191,1.0708762738211757,1.7150123783752662,55.99999999999999,69.1,125.3,0.13593011226310678,0.9987750326887344,0.11960635881907647,1.159699951827128,11.500000000000002,9.101383249604293,20.11631683985961,0.0,0.0,0.0,0.0,4.257532172596518,5.055598375886038,1.86545316908678,4.277448214162824,6.164173147064896,5.777682196682954,1.4746748331154085,0.37599614617025673,0.6352006056018168,3.1516069093661825,22.436721491982652,19.440988232055606,98.5068474296332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,13,0.38839999999999997,0.38323076923076926,0.0,5,8,,4,11,,,0,,0,0,0.019200000000000002,0,0.0,,,,,,,,,1963,1978,16,
Paul Silas,silaspa01,79,220.0,1943-07-12,Creighton,1965,1979,1964-10-17T00:00:00Z,False,15,NBA,"STL, ATL, PHO, BOS, DEN, SEA",PF,1172,0.0,28.493174061433447,3.5665529010238908,8.233788395904437,0.43316062176165804,0.0,0.0,,0.0,0.0,,0.43316062176165804,2.651023890784983,3.9351535836177476,0.6736773633998265,1.5622866894197953,2.5435153583617747,10.171501706484642,2.138225255972696,0.2841296928327645,0.11348122866894197,0.21331058020477817,2.5469283276450514,9.784129692832764,33394.0,4180,9650,0.0,0.0,0.0,0.0,3107,4612,1831.0,2981.0,11921.0,2506,333.0,133.0,250.0,2985.0,11467,1.0,14.166167575013475,0.4880294963167036,0.0,0.47615353057435456,9.331243023845763,15.037336377473364,12.660306717786298,9.641618254776306,0.894461149867693,0.3411415525114155,2.6681613602267045,1.6467844640773461,28.0,49.599999999999994,77.8,0.11162436365814216,-0.276309778729479,-0.01621698786581012,-0.3110778015703069,5.9,4.863704496788008,11.807080656673802,0.0,0.0,0.0,0.0,3.620071377587437,5.2532976445396145,5.86241256245539,9.545838686652392,15.392748037116347,3.206117059243397,1.0616059957173447,0.4318986438258387,0.8173804425410421,3.958486795146324,13.399007851534618,28.94532476802284,96.15717344753747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0.18181818181818182,0.0,0.0,2,5,,0,0,,,0,,0,0,0.0014666666666666667,0,0.0,,,,,,,,,1965,1980,15,
Paul Silas,silaspa01,79,220.0,1943-07-12,Creighton,1966,1980,1964-10-17T00:00:00Z,False,15,NBA,"STL, ATL, PHO, BOS, DEN, SEA",PF,1175,0.0,28.72,3.5344680851063828,8.148085106382979,0.4337789847503656,0.0,0.0,,0.09617021276595744,0.25446808510638297,0.3779264214046823,0.4337789847503656,2.6493617021276594,3.901276595744681,0.6791012216404887,1.7319148936170212,2.734468085106383,10.026382978723404,2.148085106382979,0.3046808510638298,0.1174468085106383,0.2834042553191489,2.505531914893617,9.718297872340425,33746.0,4153,9574,0.0,0.0,113.0,299.0,3113,4584,2035.0,3213.0,11781.0,2524,358.0,138.0,333.0,2944.0,11419,1.0,13.95291590114384,0.48873359805606603,0.0,0.4765958928465595,9.635850739263084,15.064487209575217,12.748144982589428,9.585835358264683,0.877440597047687,0.330574982398498,3.4826685660018994,2.1139854384298826,29.099999999999998,49.49999999999999,78.80000000000001,0.11188514194274876,-0.4524895866709388,-0.10654918295418134,-0.5756936879205383,5.5,4.703876962512015,11.499724447292534,0.0,0.0,0.337295738545338,0.8994553027875682,3.515809035565524,5.12519705222685,5.876475488625442,9.275405318808074,15.137962191605256,3.082838833707145,1.0246459468119191,0.39797500801025315,0.9893623838513297,3.911624479333547,12.980044857417495,36.10567125921179,96.95879525793015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0.16666666666666666,0.0,0.0,2,5,,0,0,,,0,,0,0,0.0014666666666666667,0,0.0,,,,,,,,,1965,1980,16,
Elvin Hayes,hayesel01,81,235.0,1945-11-17,Houston,1969,1983,1968-10-17T00:00:00Z,True,15,NBA,"SDR, HOU, BAL, CAP, WSB, HOU",PF,1222,125.0,40.10310965630114,8.852700490998364,19.54418985270049,0.4529581710840347,0.004091653027823241,0.02618657937806874,0.15625,1.8682487725040917,4.03518821603928,0.46298925167308863,0.4530628480509149,4.312602291325695,6.437806873977086,0.6698868692004576,2.202127659574468,5.564648117839607,13.108837970540097,1.9042553191489362,0.6939443535188216,1.4263502454991817,1.044189852700491,3.330605564648118,22.022094926350245,49006.0,10818,23883,5.0,32.0,2283.0,4931.0,5270,7867,2691.0,6800.0,16019.0,2327,848.0,1743.0,1276.0,4070.0,26911,2.0,17.887024037872912,0.49342313186140463,0.0014953271028037382,0.33139646165775627,7.1864072817194105,18.25741456870018,13.279767783536709,6.962851487572951,1.1314424635332252,2.3814405598084867,4.550071419826144,8.256764477819043,37.900000000000006,82.80000000000001,120.6,0.118114639023793,0.3834770068899215,0.44392565294023395,0.7868386476526198,21.999999999999996,9.535356513379268,20.68725845217113,0.0,0.056279442397051765,3.4563563531485335,7.498730972600545,4.763211023874379,7.046072744752443,3.97641724082679,9.992100624899855,13.9688415318058,2.1588271110398973,1.2527992308924853,2.5689985579234094,1.9017849703573144,4.203704534529723,23.86712385835603,57.89847780804358,97.18887998718154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12,0.0216,0.19106666666666666,0.06193333333333333,0,2,,3,6,,,1,,1,0,0.03813333333333334,0,0.321,,,,,0,0.0,,,1969,1984,15,
Elvin Hayes,hayesel01,81,235.0,1945-11-17,Houston,1970,1984,1968-10-17T00:00:00Z,True,15,NBA,"SDR, HOU, BAL, CAP, WSB, HOU",PF,1221,129.0,37.923832923832926,8.227682227682228,18.173628173628174,0.45272645335736816,0.004095004095004095,0.027846027846027847,0.14705882352941177,1.9991809991809992,4.355446355446356,0.45900714554343736,0.45283911671924293,4.004095004095004,5.94021294021294,0.6740659037639597,2.2751842751842752,5.710892710892711,12.180999180999182,1.8714168714168715,0.7076167076167076,1.4504504504504505,1.1122031122031122,3.2162162162162162,20.463554463554463,46305.0,10046,22190,5.0,34.0,2441.0,5318.0,4889,7253,2778.0,6973.0,14873.0,2285,864.0,1771.0,1358.0,3927.0,24986,3.0,17.643325774754345,0.4933227297268113,0.0016898823021272002,0.32943679948169746,7.245363652677724,18.268692798728434,14.357060792570996,7.205256451787063,1.1193777077589602,2.3589791575870995,5.148208616780045,9.189180434078395,33.50000000000001,77.8,111.2,0.11532417665478889,0.2697661418056462,0.39935091151899127,0.6267182210627659,21.399999999999995,9.466349886642444,20.601214323426195,0.0,0.057629118916736555,3.5750116463244197,7.816736544613188,4.739650299698749,7.016866983446691,3.977145252958166,9.930603434889282,13.908062362185161,2.1940557160160252,1.2357340290071124,2.529823907574769,1.9603838628528834,4.249895959501847,23.701437932855058,58.98208018882574,97.52262492623994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,0.0216,0.19106666666666666,0.0,0,2,,3,6,,,0,,0,0,0.03813333333333334,0,0.0,0,0.0,,,0,0.0,,,1969,1984,16,
Kareem Abdul-Jabbar,abdulka01,86,225.0,1947-04-16,UCLA,1970,1984,1969-10-18T00:00:00Z,True,15,NBA,"MIL, LAL",C,1170,399.0,39.0965811965812,11.116239316239316,19.835042735042734,0.5604343517042272,0.0,0.006837606837606838,0.0,3.3008547008547007,5.640170940170941,0.5852401879072586,0.5604343517042272,4.713675213675214,6.575213675213675,0.7168854803067723,1.971794871794872,6.518803418803419,12.824786324786325,4.033333333333333,0.7649572649572649,2.241880341880342,1.4418803418803419,3.0034188034188034,26.946153846153845,45743.0,13006,23207,0.0,8.0,3862.0,6599.0,5515,7693,2307.0,7627.0,15005.0,4719,895.0,2623.0,1687.0,3514.0,31527,21.0,26.02355551669108,0.5938217432175413,0.0004198019369083794,0.332086876680585,6.557611572158989,19.560029290100456,15.453505454386463,15.403524036464596,1.1595053483502178,3.441825749595334,5.881686815469034,10.62239031108585,155.8,80.0,235.60000000000002,0.2472825131714142,4.949956364543074,2.0120963720234384,6.954993142999626,72.8,12.691593940905125,22.556267921705526,0.0,0.008343722727839422,5.585581598304451,9.5471855130283,5.3257293354943265,7.272129410297967,3.2993891036030423,10.881174417154968,14.189963844907117,4.79162199227029,1.2771038523874831,3.7367566388230893,2.4219174666500436,3.6097026555292357,30.7027303328762,70.26792170552301,96.99002618127416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,14,0.2498,0.5108666666666667,0.06666666666666667,5,11,,9,13,,,1,,1,6,0.3777999999999999,1,1.0,0,0.0,,,0,0.0,,,1970,1989,15,
