player,player_id,ht_in_in,wt,birth_date,colleges,from_season,to_season,debut,hof,n_seasons,lg,teams,pos,career_g,career_gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,career_mp,career_fg,career_fga,career_x3p,career_x3pa,career_x2p,career_x2pa,career_ft,career_fta,career_orb,career_drb,career_trb,career_ast,career_stl,career_blk,career_tov,career_pf,career_pts,career_trp_dbl,career_per,career_ts_percent,career_x3p_ar,career_f_tr,career_orb_percent,career_drb_percent,career_trb_percent,career_ast_percent,career_stl_percent,career_blk_percent,career_tov_percent,career_usg_percent,career_ows,career_dws,career_ws,career_ws_48,career_obpm,career_dbpm,career_bpm,career_vorp,career_fg_per_100_poss,career_fga_per_100_poss,career_x3p_per_100_poss,career_x3pa_per_100_poss,career_x2p_per_100_poss,career_x2pa_per_100_poss,career_ft_per_100_poss,career_fta_per_100_poss,career_orb_per_100_poss,career_drb_per_100_poss,career_trb_per_100_poss,career_ast_per_100_poss,career_stl_per_100_poss,career_blk_per_100_poss,career_tov_per_100_poss,career_pf_per_100_poss,career_pts_per_100_poss,career_o_rtg,career_d_rtg,career_pg_percent,career_sg_percent,career_sf_percent,career_pf_percent,career_c_percent,career_on_court_plus_minus_per_100_poss,career_net_plus_minus_per_100_poss,career_bad_pass_turnover,career_lost_ball_turnover,career_shooting_foul_committed,career_offensive_foul_committed,career_shooting_foul_drawn,career_offensive_foul_drawn,career_points_generated_by_assists,career_and1,career_fga_blocked,career_avg_dist_fga,career_percent_fga_from_x0_3_range,career_percent_fga_from_x3_10_range,career_percent_fga_from_x10_16_range,career_percent_fga_from_x16_3p_range,career_percent_fga_from_x3p_range,career_fg_percent_from_x0_3_range,career_fg_percent_from_x3_10_range,career_fg_percent_from_x10_16_range,career_fg_percent_from_x16_3p_range,career_percent_assisted_x2p_fg,career_percent_assisted_x3p_fg,career_percent_dunks_of_fga,career_num_of_dunks,career_percent_corner_3s_of_3pa,career_corner_3_point_percent,career_num_heaves_attempted,career_num_heaves_made,career_CHMP_count,career_FMVP_count,career_all_star_count,career_all_defense_share_mean,career_all_nba_share_mean,career_all_rookie_share_mean,career_all_defense_1st_count,career_all_defense_2nd_count,career_all_defense_ORV_count,career_all_nba_1T_count,career_all_nba_2T_count,career_all_nba_3T_count,career_all_nba_ORV_count,career_all_rookie_1st_count,career_all_rookie_2nd_count,career_all_rookie_ORV_count,career_mvp_winner_count,career_mvp_share_mean,career_roy_winner_count,career_roy_share_sum,career_smoy_winner_count,career_smoy_share_mean,career_mip_winner_count,career_mip_share_mean,career_dpoy_winner_count,career_dpoy_share_mean,career_clutch_poy_winner_count,career_clutch_poy_share_mean,from,to,experience,career_percent_fga_from_x2p_range
Connie Simmons,simmoco01,80,222.0,1925-03-15,,1947,1956,1946-11-02T00:00:00Z,False,10,"BAA,NBA","BOS, BLB, NYK, BLB, SYR, ROC",C,598,,11.765886287625419,3.6454849498327757,10.38628762541806,0.35099017871518273,,,,,,,,2.5066889632107023,3.697324414715719,0.6779737675260064,,,3.8361204013377925,1.5719063545150502,,,,3.0819397993311037,9.797658862876254,7036.0,2180,6211,,,,,1499,2211,,,2294.0,940,,,,1843.0,5859,0.0,15.643362706083003,0.42864368959636157,,0.42026108584422966,,,,,,,,,16.5,13.0,29.400000000000002,0.0805724843661171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,,0,0,,,,,,0,0.0,0,0.0,,,,,,,,,1947,1956,10,
Max Zaslofsky,zasloma01,74,170.0,1925-12-07,St. John's,1947,1956,1946-11-02T00:00:00Z,False,10,"BAA,NBA","CHS, NYK, MLH, BLB, FTW",SG,540,,12.518518518518519,5.285185185185185,15.394444444444444,0.34331769517623,,,,,,,,4.225925925925926,5.4981481481481485,0.7686089592455372,,,1.6,2.024074074074074,,,,2.390740740740741,14.796296296296296,6760.0,2854,8313,,,,,2282,2969,,,864.0,1093,,,,1291.0,7990,0.0,13.601360946745562,0.4240180473372781,,0.4326454142011834,,,,,,,,,31.7,16.500000000000004,48.300000000000004,0.05700754437869822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,4,4,,,,,,0,0.0,0,0.0,,,,,,,,,1947,1956,10,
Carl Braun,braunca01,77,180.0,1927-09-25,Colgate,1948,1959,1947-11-13T00:00:00Z,True,10,"BAA,NBA",NYK,SG,671,,24.236959761549926,5.23397913561848,13.809239940387481,0.37902007338657456,,,,,,,,3.9359165424739193,4.901639344262295,0.8029796290665856,,,2.7913561847988078,3.730253353204173,,,,2.9195230998509687,14.40387481371088,16263.0,3512,9266,,,,,2641,3289,,,1873.0,2503,,,,1959.0,9665,0.0,16.052597921662667,0.4739698087683699,,0.3819910840558323,,,,,,,,,42.1,18.1,60.4,0.12312814363893503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,,,,,0,2,,,,,,0,0.0,0,0.0,,,,,,,,,1948,1962,10,
Andy Phillip,phillan01,74,195.0,1922-03-07,Illinois,1948,1957,1947-11-13T00:00:00Z,True,10,"BAA,NBA","CHS, PHW, FTW, BOS",PG,631,,22.526148969889064,3.527733755942948,9.580031695721077,0.36823821339950374,,,,,,,,2.687797147385103,3.847860538827258,0.6985172981878089,,,3.5451664025356577,5.765451664025356,,,,2.8589540412044374,9.743264659270999,14214.0,2226,6045,,,,,1696,2428,,,2237.0,3638,,,,1804.0,6148,10.0,14.644259181089067,0.4478285493175742,,0.48219114957084563,,,,,,,,,29.9,29.4,59.2,0.10270444632052905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,0,2,,,,,,0,0.0,0,0.0,,,,,,,,,1948,1958,10,
Paul Seymour,seymopa01,73,180.0,1928-01-30,Toledo,1948,1958,1947-11-21T00:00:00Z,False,10,"BAA,NBA","BLB, SYR",SG,597,,24.110552763819097,3.3618090452261304,9.587939698492463,0.35062893081761004,,,,,,,,2.9011725293132327,3.6683417085427137,0.7908675799086758,,,2.7705192629815745,3.8609715242881073,,,,2.2395309882747068,9.624790619765495,14394.0,2007,5724,,,,,1732,2190,,,1654.0,2305,,,,1337.0,5746,1.0,13.993198554953453,0.4389317771293594,,0.393165694039183,,,,,,,,,14.8,22.4,37.5,0.10449645685702379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,0,2,,,,,,0,0.0,0,0.0,,,,,,,,,1948,1960,10,
Joe Graboski,grabojo01,79,195.0,1930-01-15,,1949,1959,1948-11-06T00:00:00Z,False,10,"BAA,NBA","CHS, INO, PHW",PF,666,,29.905405405405407,4.45945945945946,12.69069069069069,0.3513961192617132,,,,,,,,3.1786786786786787,4.542042042042042,0.6998347107438017,,,7.845345345345345,1.9354354354354355,,,,3.354354354354354,12.097597597597598,19917.0,2970,8452,,,,,2117,3025,,,5225.0,1289,,,,2234.0,8057,0.0,14.14246623487473,0.4162087161721143,,0.3764215996384998,,,,,,,,,-0.8999999999999999,24.200000000000003,23.3,0.05302495355726264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,0,0,,,,,,0,0.0,0,0.0,,,,,,,,,1949,1962,10,
Arnie Risen,risenar01,81,200.0,1924-10-09,"Eastern Kentucky University, Ohio State",1949,1958,1948-11-06T00:00:00Z,True,10,"BAA,NBA","ROC, BOS",C,637,,19.921507064364206,4.0973312401883835,10.75353218210361,0.381021897810219,,,,,,,,3.7880690737833596,5.417582417582418,0.6992176180817155,,,7.866562009419153,1.6609105180533752,,,,3.8445839874411303,11.982731554160125,12690.0,2610,6850,,,,,2413,3451,,,5011.0,1058,,,,2449.0,7633,0.0,16.714239558707646,0.45059345941686374,,0.4959624113475178,,,,,,,,,32.5,23.599999999999998,55.900000000000006,0.11907722616233256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,0,1,,,,,,0,0.0,0,0.0,,,,,,,,,1949,1958,10,
Harry Gallatin,gallaha01,78,210.0,1927-04-26,Truman State University,1949,1958,1948-11-20T00:00:00Z,True,10,"BAA,NBA","NYK, DET",PF,682,,23.186217008797655,4.120234604105572,10.3475073313783,0.3981861981011761,,,,,,,,4.725806451612903,6.109970674486804,0.773458123350132,,,9.80058651026393,1.7712609970674487,,,,3.058651026392962,12.966275659824047,15813.0,2810,7057,,,,,3223,4167,,,6684.0,1208,,,,2086.0,8843,0.0,21.647764497565294,0.5114848542338581,,0.6464034022639601,,,,,,,,,56.300000000000004,22.2,78.29999999999998,0.18233238474672736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7,,,,,,,1,2,,,,,,0,0.004333333333333333,0,0.0,,,,,,,,,1949,1958,10,
Ed Macauley,macaued01,80,185.0,1928-03-22,Saint Louis,1950,1959,1949-11-01T00:00:00Z,True,10,NBA,"STB, BOS, STL",C,641,,28.19188767550702,5.837753510140406,13.399375975039002,0.4356735359180347,,,,,,,,5.850234009360374,7.689547581903276,0.7608034083992696,,,6.747269890795632,3.2433697347893915,,,,2.6006240249609984,17.525741029641186,18071.0,3742,8589,,,,,3750,4929,,,4325.0,2079,,,,1667.0,11234,2.0,20.52051906369321,0.5243905705273643,,0.571927674174091,,,,,,,,,84.4,16.3,100.5,0.19623130983343479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,3,4,,,,,,0,0.0,0,0.0,,,,,,,,,1950,1959,10,
Dick McGuire,mcguidi01,72,180.0,1926-01-25,"St. John's, Dartmouth College",1950,1959,1949-11-01T00:00:00Z,True,10,NBA,"NYK, DET",PG,670,,23.438805970149254,2.78955223880597,7.249253731343283,0.38480543545398394,,,,,,,,2.538805970149254,3.9328358208955225,0.6455407969639468,,,3.7611940298507465,5.74179104477612,,,,2.3626865671641792,8.117910447761194,15704.0,1869,4857,,,,,1701,2635,,,2520.0,3847,,,,1583.0,5439,1.0,15.528928935303107,0.45822516556291387,,0.5461180590932246,,,,,,,,,27.3,19.6,47.0,0.11332806928171166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7,,,,,,,0,1,,,,,,0,0.00175,0,0.0,,,,,,,,,1950,1960,10,
